Date,GOOG,NVDA
2023-07-24,121.87999725341797,44.61199951171875
2023-07-25,122.79000091552734,45.67900085449219
2023-07-26,129.66000366210938,45.45199966430664
2023-07-27,129.8699951171875,45.900001525878906
2023-07-28,133.00999450683594,46.75
2023-07-31,133.11000061035156,46.729000091552734
2023-08-01,131.88999938964844,46.50699996948242
2023-08-02,128.63999938964844,44.26900100708008
2023-08-03,128.77000427246094,44.51499938964844
2023-08-04,128.5399932861328,44.68000030517578
2023-08-07,131.94000244140625,45.41699981689453
2023-08-08,131.83999633789062,44.66400146484375
2023-08-09,130.14999389648438,42.55400085449219
2023-08-10,130.2100067138672,42.38800048828125
2023-08-11,130.1699981689453,40.85499954223633
2023-08-14,131.8300018310547,43.75299835205078
2023-08-15,130.27000427246094,43.939998626708984
2023-08-16,129.11000061035156,43.486000061035156
2023-08-17,130.4600067138672,43.34400177001953
2023-08-18,128.11000061035156,43.29899978637695
2023-08-21,128.92999267578125,46.96699905395508
2023-08-22,129.69000244140625,45.667999267578125
2023-08-23,133.2100067138672,47.11600112915039
2023-08-24,130.4199981689453,47.16299819946289
2023-08-25,130.69000244140625,46.018001556396484
2023-08-28,131.7899932861328,46.834999084472656
2023-08-29,135.49000549316406,48.784000396728516
2023-08-30,136.92999267578125,49.263999938964844
2023-08-31,137.35000610351562,49.35499954223633
2023-09-01,136.8000030517578,48.50899887084961
2023-09-05,136.7100067138672,48.54800033569336
2023-09-06,135.3699951171875,47.06100082397461
2023-09-07,136.1999969482422,46.24100112915039
2023-09-08,137.1999969482422,45.571998596191406
2023-09-11,137.74000549316406,45.178001403808594
2023-09-12,136.07000732421875,44.869998931884766
2023-09-13,137.5,45.48500061035156
2023-09-14,138.99000549316406,45.58100128173828
2023-09-15,138.3000030517578,43.900001525878906
2023-09-18,138.9600067138672,43.965999603271484
2023-09-19,138.8300018310547,43.52000045776367
2023-09-20,134.58999633789062,42.23899841308594
2023-09-21,131.36000061035156,41.016998291015625
2023-09-22,131.25,41.61000061035156
2023-09-25,132.1699981689453,42.22200012207031
2023-09-26,129.4499969482422,41.9109992980957
2023-09-27,131.4600067138672,42.46799850463867
2023-09-28,133.1300048828125,43.0890007019043
2023-09-29,131.85000610351562,43.499000549316406
2023-10-02,135.1699981689453,44.78200149536133
2023-10-03,133.3000030517578,43.516998291015625
2023-10-04,136.27000427246094,44.04100036621094
2023-10-05,135.99000549316406,44.6879997253418
2023-10-06,138.72999572753906,45.762001037597656
2023-10-09,139.5,45.27299880981445
2023-10-10,139.1999969482422,45.79800033569336
2023-10-11,141.6999969482422,46.805999755859375
2023-10-12,140.2899932861328,46.94499969482422
2023-10-13,138.5800018310547,45.46099853515625
2023-10-16,140.49000549316406,46.095001220703125
2023-10-17,140.99000549316406,43.9379997253418
2023-10-18,139.27999877929688,42.19599914550781
2023-10-19,138.97999572753906,42.10100173950195
2023-10-20,136.74000549316406,41.387001037597656
2023-10-23,137.89999389648438,42.974998474121094
2023-10-24,140.1199951171875,43.66299819946289
2023-10-25,126.66999816894531,41.77899932861328
2023-10-26,123.44000244140625,40.32600021362305
2023-10-27,123.4000015258789,40.5
2023-10-30,125.75,41.1609992980957
2023-10-31,125.30000305175781,40.779998779296875
2023-11-01,127.56999969482422,42.32500076293945
2023-11-02,128.5800018310547,43.50600051879883
2023-11-03,130.3699951171875,45.005001068115234
2023-11-06,131.4499969482422,45.750999450683594
2023-11-07,132.39999389648438,45.95500183105469
2023-11-08,133.25999450683594,46.57400131225586
2023-11-09,131.69000244140625,46.95000076293945
2023-11-10,134.05999755859375,48.334999084472656
2023-11-13,133.63999938964844,48.619998931884766
2023-11-14,135.42999267578125,49.65599822998047
2023-11-15,136.3800048828125,48.88800048828125
2023-11-16,138.6999969482422,49.47999954223633
2023-11-17,136.94000244140625,49.29800033569336
2023-11-20,137.9199981689453,50.409000396728516
2023-11-21,138.6199951171875,49.944000244140625
2023-11-22,140.02000427246094,48.715999603271484
2023-11-24,138.22000122070312,47.7760009765625
2023-11-27,138.0500030517578,48.242000579833984
2023-11-28,138.6199951171875,47.82099914550781
2023-11-29,136.39999389648438,48.13999938964844
2023-11-30,133.9199981689453,46.77000045776367
2023-12-01,133.32000732421875,46.76499938964844
2023-12-04,130.6300048828125,45.5099983215332
2023-12-05,132.38999938964844,46.566001892089844
2023-12-06,131.42999267578125,45.50299835205078
2023-12-07,138.4499969482422,46.59600067138672
2023-12-08,136.63999938964844,47.50600051879883
2023-12-11,134.6999969482422,46.62699890136719
2023-12-12,133.63999938964844,47.65700149536133
2023-12-13,133.97000122070312,48.0880012512207
2023-12-14,133.1999969482422,48.349998474121094
2023-12-15,133.83999633789062,48.88999938964844
2023-12-18,137.19000244140625,50.07699966430664
2023-12-19,138.10000610351562,49.604000091552734
2023-12-20,139.66000366210938,48.111000061035156
2023-12-21,141.8000030517578,48.9900016784668
2023-12-22,142.72000122070312,48.83000183105469
2023-12-26,142.82000732421875,49.27899932861328
2023-12-27,141.44000244140625,49.41699981689453
2023-12-28,141.27999877929688,49.52199935913086
2023-12-29,140.92999267578125,49.52199935913086
2024-01-02,139.55999755859375,48.167999267578125
2024-01-03,140.36000061035156,47.569000244140625
2024-01-04,138.0399932861328,47.99800109863281
2024-01-05,137.38999938964844,49.09700012207031
2024-01-08,140.52999877929688,52.25299835205078
2024-01-09,142.55999755859375,53.13999938964844
2024-01-10,143.8000030517578,54.349998474121094
2024-01-11,143.6699981689453,54.821998596191406
2024-01-12,144.24000549316406,54.709999084472656
2024-01-16,144.0800018310547,56.38199996948242
