Date,A,AAPL,ABNB,ADBE,AEE,AEP,AES,AFL,ALLE,AMCR,AMD,AMT,AMZN,AOS,APD,ARE,AWK,BRK-B,GOOG,GS,JPM,LLY,LNT,MMM,MRK,MSFT,NFLX,NVDA,TSLA,UBS,XOM
2023-08-02,127.70999908447266,192.5800018310547,144.55999755859375,530.2999877929688,84.38999938964844,84.5,21.040000915527344,76.23999786376953,114.4800033569336,9.850000381469727,109.3499984741211,190.6199951171875,128.2100067138672,72.58999633789062,299.32000732421875,122.22000122070312,145.6699981689453,351.19000244140625,128.63999938964844,351.1000061035156,155.39999389648438,454.4800109863281,53.279998779296875,91.06187438964844,105.69999694824219,327.5,429.70001220703125,44.26900100708008,254.11000061035156,21.40999984741211,105.29000091552734
2023-08-03,125.05000305175781,191.1699981689453,140.8800048828125,523.760009765625,82.91999816894531,81.98999786376953,20.649999618530273,77.05000305175781,111.58999633789062,9.770000457763672,113.1500015258789,185.75,128.91000366210938,72.30000305175781,281.82000732421875,122.37999725341797,142.1300048828125,353.80999755859375,128.77000427246094,353.1600036621094,156.35000610351562,449.1600036621094,51.7599983215332,89.62374877929688,105.7300033569336,326.6600036621094,431.0,44.51499938964844,259.32000732421875,21.65999984741211,107.12000274658203
2023-08-04,126.30000305175781,181.99000549316406,140.1699981689453,526.8800048828125,81.4000015258789,81.23999786376953,19.639999389648438,76.8499984741211,111.91000366210938,9.850000381469727,115.81999969482422,184.77000427246094,139.57000732421875,72.63999938964844,284.42999267578125,120.75,141.97000122070312,349.989990234375,128.5399932861328,353.2200012207031,156.02000427246094,449.489990234375,51.29999923706055,88.21906280517578,105.0,327.7799987792969,431.6000061035156,44.68000030517578,253.86000061035156,21.8799991607666,107.41999816894531
2023-08-07,126.51000213623047,178.85000610351562,143.1999969482422,529.72998046875,81.20999908447266,80.87999725341797,19.700000762939453,77.94999694824219,113.22000122070312,9.90999984741211,116.80999755859375,183.52000427246094,142.22000122070312,73.83999633789062,287.29998779296875,124.22000122070312,142.11000061035156,362.5799865722656,131.94000244140625,355.55999755859375,156.75999450683594,454.0799865722656,51.33000183105469,87.98494720458984,106.08999633789062,330.1099853515625,440.760009765625,45.41699981689453,251.4499969482422,22.170000076293945,107.19999694824219
2023-08-08,128.35000610351562,179.8000030517578,139.5500030517578,520.5999755859375,81.3499984741211,80.81999969482422,19.6200008392334,77.05999755859375,111.80999755859375,9.710000038146973,113.2300033569336,184.61000061035156,139.94000244140625,73.23999786376953,283.5400085449219,122.48999786376953,142.07000732421875,363.7300109863281,131.83999633789062,348.260009765625,155.8800048828125,521.5999755859375,51.52000045776367,87.05685424804688,106.41000366210938,326.04998779296875,438.29998779296875,44.66400146484375,249.6999969482422,22.030000686645508,107.7300033569336
2023-08-09,127.62999725341797,178.19000244140625,137.8699951171875,513.780029296875,81.01000213623047,80.70999908447266,19.610000610351562,75.66999816894531,110.91000366210938,9.699999809265137,110.47000122070312,187.10000610351562,137.85000610351562,72.79000091552734,285.3999938964844,122.43000030517578,140.4499969482422,358.0199890136719,130.14999389648438,342.69000244140625,153.7899932861328,526.22998046875,51.470001220703125,86.71405029296875,106.0999984741211,322.2300109863281,428.8999938964844,42.55400085449219,242.19000244140625,21.959999084472656,109.55999755859375
2023-08-10,127.6500015258789,177.97000122070312,135.97000122070312,515.8300170898438,80.47000122070312,81.08000183105469,19.610000610351562,75.70999908447266,111.27999877929688,9.720000267028809,110.2300033569336,186.94000244140625,138.55999755859375,71.98999786376953,286.30999755859375,121.69000244140625,139.47999572753906,356.9800109863281,130.2100067138672,340.3999938964844,153.55999755859375,521.3400268554688,51.599998474121094,86.87290954589844,105.56999969482422,322.92999267578125,429.9800109863281,42.38800048828125,245.33999633789062,22.1200008392334,110.12000274658203
2023-08-11,126.86000061035156,177.7899932861328,133.67999267578125,508.45001220703125,80.91000366210938,81.11000061035156,19.459999084472656,76.44999694824219,111.41000366210938,9.6899995803833,107.56999969482422,187.11000061035156,138.41000366210938,71.36000061035156,288.7900085449219,122.12000274658203,140.1999969482422,358.3500061035156,130.1699981689453,340.7300109863281,154.4499969482422,528.280029296875,51.86000061035156,87.41638946533203,107.44000244140625,321.010009765625,421.6600036621094,40.85499954223633,242.64999389648438,23.360000610351562,111.83000183105469
2023-08-14,126.6500015258789,179.4600067138672,133.24000549316406,522.25,79.97000122070312,80.0,19.020000457763672,76.63999938964844,112.31999969482422,9.649999618530273,111.9800033569336,187.14999389648438,140.57000732421875,71.27999877929688,290.7300109863281,119.80000305175781,142.13999938964844,358.4800109863281,131.8300018310547,337.739990234375,154.77000427246094,538.0,51.11000061035156,86.47157287597656,108.91000366210938,324.0400085449219,427.7799987792969,43.75299835205078,239.75999450683594,23.59000015258789,111.91999816894531
2023-08-15,125.6500015258789,177.4499969482422,129.85000610351562,518.7000122070312,78.76000213623047,79.0999984741211,18.0,75.7300033569336,109.25,9.479999542236328,111.3499984741211,185.64999389648438,137.6699981689453,70.81999969482422,285.1400146484375,116.56999969482422,140.69000244140625,354.5,130.27000427246094,332.2099914550781,150.8300018310547,546.6199951171875,50.310001373291016,84.56521606445312,108.66000366210938,321.8599853515625,423.70001220703125,43.939998626708984,232.9600067138672,23.40999984741211,108.16000366210938
